pair_id,moral_text,neutral_text,2555_9_high_precision_neutral_act,2555_9_high_precision_moral_act,difference
305,She recognized her duty to follow financial regulations. She reported the large transaction.,She filled out form 8300. She reported the large transaction.,-0.1348233521,0.2089163959,0.343739748
347,She recognized her duty under the Good Samaritan law. She stopped to provide aid.,She pulled over immediately. She stopped to provide aid.,-0.105294168,0.2247559726,0.3300501406
121,He felt bound by his commitment to meeting specifications. He followed the blueprint exactly.,He kept the blueprint on his workbench. He followed the blueprint exactly.,-0.06810007989,0.2614889741,0.329589054
259,She understood that removing the tag would violate store policy. She left the merchandise as it was.,She observed the tag was attached with a plastic fastener. She left the merchandise as it was.,-0.07291048765,-0.07560099661,-0.002690508962
247,She understood that accessing the files would exceed her permitted authority. She left the database untouched.,She observed the database required a password she didn't have. She left the database untouched.,-0.04042585939,-0.03374693915,0.006678920239
337,She understood that denying access would violate disability law. She installed the ramp.,She hired a contractor. She installed the ramp.,-0.02202427574,-0.01407217793,0.007952097803
12,She recognized that the rental agreement prohibited subletting. She turned down her friend's request to stay.,She observed that her apartment had only one bedroom. She turned down her friend's request to stay.,0.00444763666,-0.004032873083,-0.008480509743
32,She understood that her contract required exclusive dedication during work hours. She declined the freelance project.,She saw the freelance project deadline was next month. She declined the freelance project.,0.006775775459,0.01780015789,0.01102438243
99,He recognized that the code prohibited self-dealing. He abstained from the investment opportunity.,He saw the opportunity listed in the newsletter. He abstained from the investment opportunity.,0.03923988715,0.02793319896,-0.01130668819
38,She understood that the bylaws required a quorum for valid votes. She postponed the decision until more members arrived.,She counted only six members present in the room. She postponed the decision until more members arrived.,0.04291538522,0.02735699527,-0.01555838995
34,She felt obligated by the agreed-upon custody arrangement. She brought the children back on Sunday evening.,She observed that Sunday's weather forecast predicted rain. She brought the children back on Sunday evening.,0.05318421125,0.03740080073,-0.01578341052
174,She recognized that regulations mandated reporting timelines. She submitted findings within 48 hours.,She noted the deadline in her planner. She submitted findings within 48 hours.,0.07864573598,0.09885715693,0.02021142095
412,He understood that early release would violate the sentence. He served the full term.,He counted the remaining days. He served the full term.,0.06407620758,0.04371612146,-0.02036008611
119,He understood that his position required conflict disclosure. He revealed his prior relationship.,He mentioned the relationship during the meeting. He revealed his prior relationship.,0.2126832753,0.1895836145,-0.02309966087
208,She felt obligated by her commitment to equal treatment. She applied rules uniformly.,She referenced the same rulebook throughout. She applied rules uniformly.,0.1121891662,0.135829702,0.02364053577
280,He understood that accepting the gift would violate company policy. He politely refused the offer.,He noticed the gift came in an expensive box. He politely refused the offer.,-0.03506980091,-0.01115572453,0.02391407639
472,He understood that proceeding would violate the species protection act. He altered the construction route.,He surveyed alternate paths. He altered the construction route.,0.04949066043,0.02183510177,-0.02765555866
62,She understood that the permit conditions restricted operating hours. She closed the venue at midnight.,She saw her watch displayed twelve o'clock. She closed the venue at midnight.,-0.05411349237,-0.02542388998,0.02868960239
394,He understood that proceeding would violate the environmental impact requirements. He commissioned the study first.,He hired consultants from the list. He commissioned the study first.,0.04032586142,0.01040568296,-0.02992017847
484,He understood that proceeding would violate groundwater protections. He sealed the well properly.,He hired certified contractors. He sealed the well properly.,-0.007988995872,0.02347362787,0.03146262374
268,He understood that parking there would violate posted restrictions. He found another spot.,He observed an empty space across the street. He found another spot.,-0.04571085423,-0.01383082755,0.03188002668
9,He recognized that accepting the gift would violate company policy. He politely refused the expensive watch.,He observed that the watch came in an elaborate velvet box. He politely refused the expensive watch.,0.01986371912,-0.01267456356,-0.03253828268
436,He understood that dumping would violate water pollution laws. He treated the wastewater first.,He used filtration systems. He treated the wastewater first.,-0.03801834583,-0.003067079699,0.03495126613
18,She recognized that the lease agreement specified quiet hours after ten. She lowered her music volume at night.,She noticed her clock showed it was past ten. She lowered her music volume at night.,-0.05602534115,-0.01836115681,0.03766418435
114,She recognized that her agreement specified quality standards. She rejected the substandard materials.,She inspected materials under bright lighting. She rejected the substandard materials.,-0.01645961963,0.02145630494,0.03791592456
71,He understood that regulations required periodic inspections. He scheduled the safety review for March.,He noted March had five available dates. He scheduled the safety review for March.,0.03448805213,0.07656486332,0.04207681119
265,She understood that using the emergency exit violated building regulations. She took the main stairway.,She counted four flights of stairs to descend. She took the main stairway.,-0.08243406564,-0.03936642408,0.04306764156
2,She understood that her position required maintaining confidentiality about client matters. She declined to discuss the case at dinner.,She observed that three people at dinner worked for competing firms. She declined to discuss the case at dinner.,-0.06120608747,-0.01784879155,0.04335729592
