pair_id,context_type,target_answer,predicted_answer,is_correct,yes_logit,no_logit,yes_prob,no_prob,group
10,moral,Yes ,No,False,-150.30038452148438,-149.42654418945312,0.2944558262825012,0.705544114112854,baseline
10,moral,No ,No,False,-152.91493225097656,-152.052490234375,0.2968294024467468,0.7031705975532532,baseline
10,neutral,Yes ,No,False,-137.81089782714844,-137.78109741210938,0.49255046248435974,0.5074495673179626,baseline
10,neutral,No,Yes,False,-137.86886596679688,-138.04818725585938,0.5447105765342712,0.45528942346572876,baseline
11,moral,Yes ,No,False,-154.13491821289062,-153.6273956298828,0.37577447295188904,0.6242255568504333,baseline
11,moral,No ,No,False,-156.5175018310547,-155.91111755371094,0.3528844118118286,0.6471155285835266,baseline
11,neutral,Yes ,No,False,-146.51275634765625,-146.1834716796875,0.4184146821498871,0.5815852880477905,baseline
11,neutral,No ,No,False,-147.92796325683594,-147.41366577148438,0.374186635017395,0.625813364982605,baseline
12,moral,Yes ,No,False,-154.26956176757812,-154.17108154296875,0.47539982199668884,0.5246001482009888,baseline
12,moral,No ,No,False,-154.69595336914062,-154.23577880859375,0.386944442987442,0.6130555868148804,baseline
12,neutral,Yes ,No,False,-136.89756774902344,-136.84275817871094,0.4863010048866272,0.513698935508728,baseline
12,neutral,No ,No,False,-138.63954162597656,-138.3850555419922,0.4367196261882782,0.5632804036140442,baseline
13,moral,Yes ,No,False,-142.79025268554688,-141.75064086914062,0.2612248957157135,0.7387750744819641,baseline
13,moral,No ,No,False,-138.82742309570312,-137.881103515625,0.2796255946159363,0.7203744053840637,baseline
13,neutral,Yes ,No,False,-152.83445739746094,-151.9398193359375,0.2901536226272583,0.7098463773727417,baseline
13,neutral,No ,No,False,-147.1644287109375,-146.39154052734375,0.31585466861724854,0.6841453313827515,baseline
14,moral,Yes ,No,False,-148.97235107421875,-148.38348388671875,0.3568947911262512,0.643105149269104,baseline
14,moral,No ,No,False,-146.85308837890625,-146.1643829345703,0.33432111144065857,0.665678858757019,baseline
14,neutral,Yes ,No,False,-130.41839599609375,-129.91111755371094,0.3758317530155182,0.6241682767868042,baseline
14,neutral,No ,No,False,-125.62354278564453,-125.1456527709961,0.3827505111694336,0.6172495484352112,baseline
15,moral,Yes ,No,False,-144.56671142578125,-143.7184295654297,0.29979339241981506,0.7002065777778625,baseline
15,moral,No ,No,False,-146.4188995361328,-145.56283569335938,0.2981623709201813,0.7018375992774963,baseline
15,neutral,Yes,No,False,-137.10140991210938,-136.21820068359375,0.2925131916999817,0.7074868083000183,baseline
15,neutral,No ,No,False,-139.3887939453125,-138.54742431640625,0.30124640464782715,0.6987535953521729,baseline
16,moral,Yes ,No,False,-150.9290771484375,-150.42904663085938,0.377533495426178,0.622466504573822,baseline
16,moral,No ,No,False,-152.85308837890625,-152.262451171875,0.3564886450767517,0.6435113549232483,baseline
16,neutral,Yes ,No,False,-128.2825469970703,-127.5992660522461,0.3355294167995453,0.6644705533981323,baseline
16,neutral,No ,No,False,-129.60787963867188,-128.78475952148438,0.30510175228118896,0.694898247718811,baseline
17,moral,Yes ,No,False,-141.6612548828125,-141.19102478027344,0.38456180691719055,0.6154382228851318,baseline
17,moral,No ,No,False,-143.11013793945312,-142.33424377441406,0.315205454826355,0.684794545173645,baseline
17,neutral,Yes ,No,False,-134.83763122558594,-134.65985107421875,0.45567163825035095,0.5443283319473267,baseline
17,neutral,No ,No,False,-133.0635223388672,-132.5924072265625,0.38435235619544983,0.6156476736068726,baseline
18,moral,Yes ,No,False,-158.48797607421875,-157.91433715820312,0.3603975772857666,0.6396024227142334,baseline
18,moral,No ,No,False,-158.30422973632812,-157.5301513671875,0.3155975341796875,0.6844024658203125,baseline
18,neutral,Yes ,No,False,-142.37696838378906,-141.77479553222656,0.3538467288017273,0.6461532711982727,baseline
18,neutral,No ,No,False,-143.87423706054688,-143.1044158935547,0.31651777029037476,0.6834821701049805,baseline
19,moral,Yes ,No,False,-143.50184631347656,-142.67623901367188,0.3045746684074402,0.695425271987915,baseline
19,moral,No ,No,False,-146.39547729492188,-145.35276794433594,0.2606275975704193,0.7393724918365479,baseline
19,neutral,Yes ,No,False,-152.0224609375,-151.42161560058594,0.35415029525756836,0.6458496451377869,baseline
19,neutral,No ,No,False,-151.58627319335938,-150.8038787841797,0.3138040602207184,0.6861959099769592,baseline
20,moral,Yes ,No,False,-149.7482452392578,-149.6011199951172,0.4632848799228668,0.5367150902748108,baseline
20,moral,No ,No,False,-152.42433166503906,-151.76370239257812,0.34059828519821167,0.6594017148017883,baseline
20,neutral,Yes ,No,False,-135.1615753173828,-134.76287841796875,0.40162545442581177,0.5983745455741882,baseline
20,neutral,No,No,True,-134.88555908203125,-134.0288543701172,0.29802829027175903,0.701971709728241,baseline
21,moral,Yes ,No,False,-162.64266967773438,-161.98133850097656,0.34044063091278076,0.6595593094825745,baseline
21,moral,No ,No,False,-164.53302001953125,-163.76718139648438,0.31737998127937317,0.6826199889183044,baseline
21,neutral,Yes ,No,False,-143.0041961669922,-141.85922241210938,0.2414083480834961,0.7585916519165039,baseline
21,neutral,No ,No,False,-145.68551635742188,-144.52377319335938,0.23835068941116333,0.7616493105888367,baseline
22,moral,Yes ,No,False,-150.870849609375,-150.85614013671875,0.4963226914405823,0.5036773085594177,baseline
22,moral,No ,No,False,-147.26309204101562,-146.88641357421875,0.40692824125289917,0.593071699142456,baseline
22,neutral,Yes ,No,False,-132.12899780273438,-131.71755981445312,0.3985673487186432,0.6014326214790344,baseline
22,neutral,No ,No,False,-128.4965057373047,-127.78510284423828,0.32928892970085144,0.6707110404968262,baseline
23,moral,Yes ,No,False,-142.9004669189453,-141.7241973876953,0.235723614692688,0.764276385307312,baseline
23,moral,No ,No,False,-143.7151336669922,-142.53143310546875,0.23438745737075806,0.7656124830245972,baseline
23,neutral,Yes ,No,False,-148.4482421875,-147.7537078857422,0.33302515745162964,0.6669748425483704,baseline
23,neutral,No ,No,False,-149.2089080810547,-148.47267150878906,0.3238276541233063,0.6761723756790161,baseline
24,moral,Yes ,No,False,-159.1373748779297,-158.23841857910156,0.2892650365829468,0.7107349634170532,baseline
24,moral,No ,No,False,-155.93447875976562,-155.1290283203125,0.3088608682155609,0.6911392211914062,baseline
24,neutral,Yes ,No,False,-148.41116333007812,-147.520263671875,0.29092422127723694,0.7090758085250854,baseline
24,neutral,No ,No,False,-147.7637481689453,-146.9833984375,0.31424450874328613,0.6857554912567139,baseline
25,moral,Yes ,No,False,-146.61192321777344,-146.15869140625,0.3885926306247711,0.6114073395729065,baseline
25,moral,No ,No,False,-138.401123046875,-137.82530212402344,0.3598947525024414,0.6401052474975586,baseline
25,neutral,Yes ,No,False,-149.94573974609375,-149.1207733154297,0.3047104477882385,0.6952895522117615,baseline
25,neutral,No ,No,False,-147.76353454589844,-146.8655548095703,0.28946584463119507,0.7105341553688049,baseline
26,moral,Yes ,No,False,-155.2991180419922,-154.72227478027344,0.3596592843532562,0.6403406858444214,baseline
26,moral,No ,No,False,-156.81402587890625,-156.18968200683594,0.348794162273407,0.651205837726593,baseline
26,neutral,Yes ,No,False,-144.77708435058594,-144.23641967773438,0.3680329918861389,0.6319670677185059,baseline
26,neutral,No ,No,False,-143.23318481445312,-142.79005432128906,0.3909952938556671,0.6090046763420105,baseline
27,moral,Yes ,No,False,-151.8018798828125,-151.37001037597656,0.39368000626564026,0.6063199639320374,baseline
27,moral,No ,No,False,-148.09231567382812,-147.57308959960938,0.37303322553634644,0.6269667744636536,baseline
27,neutral,Yes ,No,False,-147.90457153320312,-147.32980346679688,0.36013734340667725,0.6398626565933228,baseline
27,neutral,No ,No,False,-146.27146911621094,-145.6107940673828,0.3405879735946655,0.6594119668006897,baseline
28,moral,Yes ,No,False,-140.7107391357422,-140.21788024902344,0.37922027707099915,0.6207796335220337,baseline
28,moral,No ,No,False,-138.78189086914062,-138.3677520751953,0.3979201316833496,0.6020798683166504,baseline
28,neutral,Yes ,No,False,-130.41111755371094,-130.3495330810547,0.4846087396144867,0.5153912305831909,baseline
28,neutral,No ,No,False,-132.39413452148438,-132.34017944335938,0.48651447892189026,0.5134854912757874,baseline
29,moral,Yes ,No,False,-155.3693084716797,-155.0936737060547,0.43152427673339844,0.5684756636619568,baseline
29,moral,No ,No,False,-154.57704162597656,-153.96755981445312,0.3521774113178253,0.6478225588798523,baseline
29,neutral,Yes ,No,False,-148.87986755371094,-148.04391479492188,0.30238786339759827,0.6976121068000793,baseline
29,neutral,No ,No,False,-148.00057983398438,-147.06362915039062,0.2815167009830475,0.7184833288192749,baseline
30,moral,Yes ,No,False,-161.1499786376953,-160.84552001953125,0.42446789145469666,0.575532078742981,baseline
30,moral,No ,No,False,-163.66290283203125,-163.08460998535156,0.35932549834251404,0.6406744718551636,baseline
30,neutral,Yes ,No,False,-130.1335906982422,-129.7970733642578,0.4166557192802429,0.5833442807197571,baseline
30,neutral,No ,No,False,-134.8694305419922,-134.4212188720703,0.3897860646247864,0.6102139949798584,baseline
31,moral,Yes ,No,False,-152.72573852539062,-151.7154998779297,0.2669331431388855,0.7330668568611145,baseline
31,moral,No ,No,False,-153.29208374023438,-152.14028930664062,0.2401614785194397,0.7598385214805603,baseline
31,neutral,Yes ,Yes,False,-148.5537109375,-148.6993408203125,0.5363432765007019,0.4636567533016205,baseline
31,neutral,No ,No,False,-151.10540771484375,-151.0164337158203,0.47777116298675537,0.5222288370132446,baseline
32,moral,Yes ,No,False,-137.84234619140625,-137.23007202148438,0.35154056549072266,0.6484593749046326,baseline
32,moral,No ,No,False,-142.94898986816406,-142.0244598388672,0.2840357720851898,0.7159642577171326,baseline
32,neutral,Yes ,No,False,-136.5998992919922,-136.58250427246094,0.49565136432647705,0.504348635673523,baseline
32,neutral,No ,No,False,-138.71340942382812,-138.4865264892578,0.4435213506221771,0.5564786791801453,baseline
33,moral,Yes ,No,False,-153.09002685546875,-152.79617309570312,0.42706069350242615,0.5729393362998962,baseline
33,moral,No ,No,False,-155.4857177734375,-155.2084197998047,0.43111634254455566,0.5688836574554443,baseline
33,neutral,Yes ,No,False,-124.65735626220703,-124.1762466430664,0.3819901645183563,0.6180098652839661,baseline
33,neutral,No ,No,False,-127.03466796875,-126.58094024658203,0.38847485184669495,0.6115251779556274,baseline
34,moral,Yes ,No,False,-151.76687622070312,-151.34730529785156,0.39661940932273865,0.603380560874939,baseline
34,moral,No ,No,False,-149.38294982910156,-148.8675994873047,0.373940110206604,0.626059889793396,baseline
34,neutral,Yes ,No,False,-137.93092346191406,-137.15220642089844,0.3145964443683624,0.6854035258293152,baseline
34,neutral,No ,No,False,-136.404296875,-135.69764709472656,0.33033955097198486,0.6696604490280151,baseline
35,moral,Yes ,No,False,-135.481689453125,-134.532958984375,0.2791402041912079,0.7208598256111145,baseline
35,moral,No ,No,False,-134.373779296875,-133.4768829345703,0.28968870639801025,0.7103112936019897,baseline
35,neutral,Yes ,No,False,-142.5760955810547,-141.84075927734375,0.3240247964859009,0.6759752035140991,baseline
35,neutral,No ,No,False,-143.97276306152344,-143.31326293945312,0.34085190296173096,0.659148097038269,baseline
36,moral,Yes ,No,False,-148.70864868164062,-148.61940002441406,0.47770264744758606,0.5222973823547363,baseline
36,moral,No ,No,False,-154.53662109375,-154.20443725585938,0.4177093505859375,0.5822906494140625,baseline
36,neutral,Yes ,Yes,False,-130.9619140625,-131.02401733398438,0.5155208110809326,0.484479159116745,baseline
36,neutral,No ,No,False,-136.84765625,-136.81930541992188,0.49291276931762695,0.507087230682373,baseline
37,moral,Yes ,No,False,-151.53701782226562,-151.27957153320312,0.4359915554523468,0.5640084147453308,baseline
37,moral,No ,No,False,-154.9415283203125,-154.3023681640625,0.3454364240169525,0.6545636057853699,baseline
37,neutral,Yes ,No,False,-151.8546142578125,-151.7326202392578,0.46953922510147095,0.5304607152938843,baseline
37,neutral,No ,No,False,-152.2774658203125,-151.58103942871094,0.3326050341129303,0.6673949956893921,baseline
38,moral,Yes ,No,False,-153.03469848632812,-152.65293884277344,0.4057025611400604,0.5942974090576172,baseline
38,moral,No ,No,False,-155.76663208007812,-155.00291442871094,0.317839652299881,0.6821603178977966,baseline
38,neutral,Yes ,No,False,-140.3339385986328,-140.09310913085938,0.44008195400238037,0.5599180459976196,baseline
38,neutral,No ,No,False,-142.59915161132812,-142.01229858398438,0.3573572337627411,0.6426427364349365,baseline
39,moral,Yes ,No,False,-151.9235382080078,-151.1453857421875,0.31471818685531616,0.6852817535400391,baseline
39,moral,No ,No,False,-160.08621215820312,-158.92320251464844,0.23812083899974823,0.7618791460990906,baseline
39,neutral,Yes ,No,False,-134.29861450195312,-133.40032958984375,0.2894030809402466,0.7105969190597534,baseline
39,neutral,No ,No,False,-141.818359375,-140.59454345703125,0.2272656112909317,0.7727343440055847,baseline
40,moral,Yes ,No,False,-141.1354217529297,-140.3568115234375,0.3146194815635681,0.6853805184364319,baseline
40,moral,No ,No,False,-148.59579467773438,-147.57275390625,0.2644354999065399,0.7355644702911377,baseline
40,neutral,Yes ,No,False,-126.68799591064453,-126.42280578613281,0.4340882897377014,0.5659117102622986,baseline
40,neutral,No ,No,False,-131.44845581054688,-131.07215881347656,0.40702033042907715,0.5929796695709229,baseline
41,moral,Yes ,No,False,-151.61688232421875,-151.2279052734375,0.40396353602409363,0.5960363745689392,baseline
41,moral,No ,No,False,-153.89578247070312,-153.39796447753906,0.37805357575416565,0.621946394443512,baseline
41,neutral,Yes ,No,False,-128.56373596191406,-128.55540466308594,0.49791720509529114,0.5020828247070312,baseline
41,neutral,No ,No,False,-135.6224365234375,-135.54185485839844,0.4798654615879059,0.5201345086097717,baseline
42,moral,Yes ,Yes,False,-158.19345092773438,-158.24208068847656,0.5121550559997559,0.48784497380256653,baseline
42,moral,No ,No,False,-158.44088745117188,-157.92054748535156,0.372772753238678,0.6272273063659668,baseline
42,neutral,Yes ,Yes,False,-146.1733856201172,-146.23098754882812,0.5143964886665344,0.4856034815311432,baseline
42,neutral,No ,No,False,-146.1304168701172,-145.7838592529297,0.41421744227409363,0.5857825875282288,baseline
43,moral,Yes ,No,False,-156.68997192382812,-156.4888458251953,0.44988730549812317,0.5501127243041992,baseline
43,moral,No ,No,False,-157.27078247070312,-156.81410217285156,0.38777366280555725,0.6122263669967651,baseline
43,neutral,Yes ,No,False,-146.3571319580078,-145.97520446777344,0.4056621193885803,0.5943379402160645,baseline
43,neutral,No ,No,False,-145.485595703125,-144.7904815673828,0.3328963816165924,0.66710364818573,baseline
44,moral,Yes ,No,False,-144.7028045654297,-143.57833862304688,0.2451838254928589,0.7548161745071411,baseline
44,moral,No ,No,False,-145.37757873535156,-144.15646362304688,0.22774025797843933,0.7722597122192383,baseline
44,neutral,Yes ,No,False,-150.63766479492188,-149.96803283691406,0.3385792374610901,0.6614207029342651,baseline
44,neutral,No ,No,False,-150.04615783691406,-149.24337768554688,0.30943113565444946,0.6905688643455505,baseline
45,moral,Yes ,No,False,-148.42987060546875,-148.05665588378906,0.4077644944190979,0.5922355651855469,baseline
45,moral,No ,No,False,-149.1403045654297,-148.50338745117188,0.34594377875328064,0.6540562510490417,baseline
45,neutral,Yes ,Yes,False,-134.08511352539062,-134.09788513183594,0.5031928420066833,0.4968070983886719,baseline
45,neutral,No ,No,False,-134.04156494140625,-133.76467895507812,0.43121737241744995,0.56878262758255,baseline
46,moral,Yes ,No,False,-159.41061401367188,-158.82186889648438,0.35692283511161804,0.6430771946907043,baseline
46,moral,No ,No,False,-158.6057586669922,-158.0319061279297,0.36034834384918213,0.6396516561508179,baseline
46,neutral,Yes ,No,False,-144.67654418945312,-143.95877075195312,0.3278834819793701,0.6721165180206299,baseline
46,neutral,No ,No,False,-142.1927947998047,-141.40406799316406,0.3124421536922455,0.6875579357147217,baseline
47,moral,Yes ,No,False,-144.71038818359375,-144.27479553222656,0.39279165863990784,0.6072083711624146,baseline
47,moral,No ,No,False,-147.8539276123047,-147.29823303222656,0.36454421281814575,0.6354557275772095,baseline
47,neutral,Yes ,No,False,-135.77685546875,-135.6034698486328,0.45676183700561523,0.54323810338974,baseline
47,neutral,No ,No,False,-139.41856384277344,-139.10972595214844,0.4233984053134918,0.5766015648841858,baseline
48,moral,Yes ,No,False,-161.1669158935547,-160.21783447265625,0.27906957268714905,0.7209303975105286,baseline
48,moral,No ,No,False,-164.38833618164062,-163.345703125,0.26064226031303406,0.7393577098846436,baseline
48,neutral,Yes ,No,False,-141.96571350097656,-141.1833038330078,0.31380078196525574,0.6861991882324219,baseline
48,neutral,No ,No,False,-145.2798309326172,-144.39231872558594,0.29162347316741943,0.7083765268325806,baseline
49,moral,Yes ,No,False,-143.06478881835938,-142.52114868164062,0.36734122037887573,0.632658839225769,baseline
49,moral,No ,No,False,-142.61724853515625,-142.0991973876953,0.37330806255340576,0.626691997051239,baseline
49,neutral,Yes ,No,False,-144.95704650878906,-143.9998779296875,0.2774454355239868,0.7225545048713684,baseline
49,neutral,No ,No,False,-143.3844757080078,-142.4850616455078,0.28917092084884644,0.7108290791511536,baseline
50,moral,Yes ,No,False,-165.94020080566406,-165.31964111328125,0.3496541678905487,0.6503458619117737,baseline
50,moral,No ,No,False,-167.09893798828125,-166.44378662109375,0.34182965755462646,0.6581704020500183,baseline
50,neutral,Yes ,No,False,-145.65028381347656,-144.9005889892578,0.32088780403137207,0.6791121959686279,baseline
50,neutral,No ,No,False,-145.18272399902344,-144.33645629882812,0.3002163767814636,0.6997836232185364,baseline
51,moral,Yes ,No,False,-154.83456420898438,-154.40138244628906,0.39336681365966797,0.606633186340332,baseline
51,moral,No ,No,False,-154.33897399902344,-153.93898010253906,0.401313841342926,0.5986862182617188,baseline
51,neutral,Yes ,No,False,-146.7194061279297,-146.5568084716797,0.45943987369537354,0.5405600666999817,baseline
51,neutral,No ,No,False,-144.10577392578125,-143.91012573242188,0.4512433707714081,0.5487565994262695,baseline
52,moral,Yes ,No,False,-144.04190063476562,-143.69248962402344,0.413525253534317,0.5864747166633606,baseline
52,moral,No ,No,False,-151.02198791503906,-150.458740234375,0.3627963662147522,0.6372036933898926,baseline
52,neutral,Yes ,No,False,-127.6001205444336,-127.17210388183594,0.3946000337600708,0.6053999662399292,baseline
52,neutral,No ,No,False,-135.9862518310547,-135.64059448242188,0.41443589329719543,0.5855640769004822,baseline
53,moral,Yes ,No,False,-143.37509155273438,-143.15599060058594,0.4454428553581238,0.5545571446418762,baseline
53,moral,No ,No,False,-143.8563690185547,-143.42593383789062,0.3940223753452301,0.6059775352478027,baseline
53,neutral,Yes ,Yes,False,-128.5104522705078,-128.7895965576172,0.5693364143371582,0.4306635558605194,baseline
53,neutral,No ,Yes,False,-126.14116668701172,-126.35020446777344,0.5520699620246887,0.4479300081729889,baseline
54,moral,Yes ,No,False,-160.94442749023438,-160.79672241210938,0.46314072608947754,0.5368592739105225,baseline
54,moral,No ,No,False,-160.7623748779297,-160.2122039794922,0.36582478880882263,0.6341752409934998,baseline
54,neutral,Yes ,No,False,-134.09103393554688,-133.6951446533203,0.4023004174232483,0.5976996421813965,baseline
54,neutral,No ,No,False,-134.31329345703125,-133.82785034179688,0.3809676766395569,0.6190323829650879,baseline
55,moral,Yes ,No,False,-152.53770446777344,-151.8177490234375,0.3274027705192566,0.6725971698760986,baseline
55,moral,No ,No,False,-149.96719360351562,-149.20248413085938,0.31762468814849854,0.6823753714561462,baseline
55,neutral,Yes ,No,False,-141.940185546875,-141.5790557861328,0.41068610548973083,0.5893138647079468,baseline
55,neutral,No ,No,False,-140.3057861328125,-139.8613739013672,0.3906901478767395,0.6093099117279053,baseline
56,moral,Yes ,No,False,-150.95968627929688,-150.2699432373047,0.3340902626514435,0.6659097671508789,baseline
56,moral,No ,No,False,-155.6943817138672,-154.96055603027344,0.3243557810783386,0.6756442189216614,baseline
56,neutral,Yes ,Yes,False,-140.708984375,-140.93011474609375,0.5550584197044373,0.44494158029556274,baseline
56,neutral,No ,Yes,False,-142.80201721191406,-142.89149475097656,0.5223544836044312,0.47764554619789124,baseline
57,moral,Yes ,No,False,-161.36485290527344,-161.11285400390625,0.43733155727386475,0.5626684427261353,baseline
57,moral,No ,No,False,-162.39013671875,-161.94927978515625,0.39153677225112915,0.6084631681442261,baseline
57,neutral,Yes ,No,False,-141.7662353515625,-141.63333129882812,0.4668228030204773,0.5331771969795227,baseline
57,neutral,No ,No,False,-143.58135986328125,-143.25880432128906,0.420053094625473,0.5799469351768494,baseline
58,moral,Yes ,No,False,-145.2512664794922,-144.81829833984375,0.3934178054332733,0.6065822243690491,baseline
58,moral,No ,No,False,-152.33749389648438,-151.81121826171875,0.37138596177101135,0.628614068031311,baseline
58,neutral,Yes ,No,False,-135.4930419921875,-134.4951629638672,0.26935863494873047,0.7306414246559143,baseline
58,neutral,No ,No,False,-139.572021484375,-138.5299072265625,0.26074227690696716,0.7392578125,baseline
59,moral,Yes ,Yes,False,-157.4089813232422,-157.41331481933594,0.5010833740234375,0.4989166259765625,baseline
59,moral,No ,No,False,-152.7607879638672,-152.3941192626953,0.40934622287750244,0.5906537771224976,baseline
59,neutral,Yes ,No,False,-152.9600067138672,-152.47860717773438,0.3819217085838318,0.6180782914161682,baseline
59,neutral,No ,No,False,-145.18075561523438,-144.4048309326172,0.3151988685131073,0.6848011016845703,baseline
60,moral,Yes ,No,False,-152.51661682128906,-152.1697235107422,0.41413599252700806,0.5858640074729919,baseline
60,moral,No ,No,False,-156.6068572998047,-156.21646118164062,0.40362194180488586,0.5963780283927917,baseline
60,neutral,Yes ,No,False,-140.40640258789062,-140.1669158935547,0.44041284918785095,0.5595871210098267,baseline
60,neutral,No ,No,False,-145.14695739746094,-144.80526733398438,0.4153990149497986,0.5846009850502014,baseline
61,moral,Yes ,No,False,-156.31068420410156,-155.7272186279297,0.3581355810165405,0.6418644785881042,baseline
61,moral,No ,No,False,-149.57684326171875,-148.68820190429688,0.2913902699947357,0.7086097002029419,baseline
61,neutral,Yes ,Yes,False,-147.0260772705078,-147.0856475830078,0.5148881673812866,0.4851118326187134,baseline
61,neutral,No ,No,False,-144.15286254882812,-143.98867797851562,0.45904579758644104,0.5409541726112366,baseline
62,moral,Yes ,No,False,-156.0941162109375,-155.27626037597656,0.3062189817428589,0.6937810182571411,baseline
62,moral,No ,No,False,-158.74688720703125,-157.7224884033203,0.26417145133018494,0.7358285188674927,baseline
62,neutral,Yes ,No,False,-135.10357666015625,-134.75112915039062,0.4127890467643738,0.5872109532356262,baseline
62,neutral,No ,No,False,-140.54502868652344,-139.83982849121094,0.33066025376319885,0.669339656829834,baseline
63,moral,Yes ,No,False,-149.9834747314453,-149.962158203125,0.494671106338501,0.5053289532661438,baseline
63,moral,No ,No,False,-152.271728515625,-151.82769775390625,0.3907809555530548,0.6092190742492676,baseline
63,neutral,Yes ,No,False,-130.9327392578125,-130.6318359375,0.42533668875694275,0.5746633410453796,baseline
63,neutral,No ,No,False,-135.3571014404297,-134.81922912597656,0.3686826825141907,0.6313173174858093,baseline
64,moral,Yes ,No,False,-154.70501708984375,-153.83309936523438,0.29485541582107544,0.7051445841789246,baseline
64,moral,No ,No,False,-153.30946350097656,-152.15386962890625,0.23946881294250488,0.7605311870574951,baseline
64,neutral,Yes ,No,False,-146.7184295654297,-146.42208862304688,0.4264521896839142,0.5735477805137634,baseline
64,neutral,No ,No,False,-144.46031188964844,-143.87625122070312,0.357998788356781,0.6420012712478638,baseline
65,moral,Yes ,No,False,-134.6493682861328,-134.45094299316406,0.45055580139160156,0.5494441986083984,baseline
